| 2019-12-01 23:44:21 | manual | 53 | 5.1 | M | 30 | 4.48 S | 130.67 E | 72 km | Banda Sea
| 2019-12-01 23:41:23 | manual | 8 | 3.4 | M | 6 | 1.67 S | 123.11 E | 171 km | Sulawesi, Indonesia
| 2019-12-01 14:14:32 | manual | 7 | 2.5 | M | 4 | 2.83 S | 119.47 E | 5 km | Sulawesi, Indonesia
| 2019-12-01 14:00:52 | manual | 7 | 3.0 | M | 5 | 2.1 S | 120.89 E | 10 km | Sulawesi, Indonesia
| 2019-12-01 12:03:04 | manual | 6 | 2.4 | M | 4 | 3.52 S | 118.79 E | 9 km | Sulawesi, Indonesia
| 2019-12-01 12:06:19 | manual | 10 | 2.8 | M | 7 | 4.01 S | 119.07 E | 8 km | Sulawesi, Indonesia
| 2019-12-01 07:33:13 | manual | 4 | 0.0 | M | | 0.73 S | 121.50 E | 5 km | Minahassa Peninsula, Sulawesi
| 2019-12-01 05:26:30 | manual | 5 | 2.7 | M | 4 | 0.33 U | 122.17 E | 171 km | Minahassa Peninsula, Sulawesi
| 2019-12-01 05:29:47 | manual | 6 | 3.2 | M | 3 | 1.3 S | 123.45 E | 10 km | Sulawesi, Indonesia
| 2019-12-01 04:02:23 | manual | 16 | 4.4 | M | 9 | 0.71 S | 121.66 E | 8 km | Minahassa Peninsula, Sulawesi
